team|player|observations|score|expectedScore|scoreDiff
Carlton|Liam Jones|1|1|3.777778|-2.777778
St Kilda|Jarryn Geary|3|7|9.75|-2.75
Geelong Cats|Jordan Clark|6|14|16.7472224|-2.7472224
Richmond|Kamdyn McIntosh|6|10|12.710752|-2.710752
St Kilda|Sebastian Ross|16|38|40.693039|-2.693039
St Kilda|Bradley Hill|5|19|21.6875|-2.6875
Gold Coast Suns|Jack Bowes|4|8|10.683334|-2.683334
West Coast Eagles|Luke Edwards|1|1|3.666667|-2.666667
Adelaide Crows|Nick Murray|3|7|9.654701|-2.654701
Sydney Swans|Josh P. Kennedy|11|27|29.630316|-2.630316
Collingwood|Mark Keane|1|1|3.625|-2.625
Collingwood|Finlay Macrae|2|6|8.612903|-2.612903
Sydney Swans|George Hewett|1|0|2.6|-2.6
Fremantle|Heath Chapman|2|6|8.6|-2.6
Essendon|Nik Cox|19|63|65.5632373|-2.5632373
Port Adelaide|Scott Lycett|15|42|44.516522|-2.51652199999999
North Melbourne|Brandon Starcevich|1|1|3.5|-2.5
Adelaide Crows|Chayce Jones|4|9|11.5|-2.5
Collingwood|Isaac Quaynor|1|1|3.5|-2.5
West Coast Eagles|Luke Shuey|1|1|3.5|-2.5
Richmond|Thomson Dow|3|2|4.462121|-2.462121
Port Adelaide|Tom Rockliff|1|1|3.441176|-2.441176
North Melbourne|Aidan Corr|1|1|3.4|-2.4
Collingwood|Brayden Sier|4|6|8.4|-2.4
Hawthorn|Chad Wingard|30|82|84.35766|-2.35766
Hawthorn|Ben McEvoy|22|80|82.352065|-2.35206500000002
Geelong Cats|Lachie Henderson|8|20|22.2978071|-2.2978071
Adelaide Crows|Tom Doedee|2|7|9.285714|-2.285714
Western Bulldogs|Jordon Sweet|4|8|10.279545|-2.279545
Fremantle|James Aish|9|12|14.2760873|-2.2760873
Collingwood|Callum L. Brown|10|24|26.1945273|-2.1945273
Fremantle|Joel Western|2|0|2.1|-2.1
Fremantle|Darcy Tucker|3|2|4.0877197|-2.0877197
St Kilda|Callum Wilkie|2|1|3.060606|-2.060606
Hawthorn|Jack Gunston|1|0|2.055556|-2.055556
Port Adelaide|Steven Motlop|29|86|88.054625|-2.054625
Carlton|Adam Saad|5|9|11.027778|-2.027778
Port Adelaide|Boyd Woodcock|8|27|29.026407|-2.026407
Gold Coast Suns|Will Brodie|2|1|3.013514|-2.013514
Melbourne|Aaron vandenBerg|2|0|2|-2
Western Bulldogs|Roarke Smith|5|9|10.964912|-1.964912
Fremantle|Brandon Walker|3|3|4.944444|-1.944444
Adelaide Crows|Reilly O'Brien|3|12|13.942724|-1.942724
West Coast Eagles|Trent Rivers|4|1|2.883333|-1.883333
Port Adelaide|Willem Drew|12|28|29.844432|-1.844432
Geelong Cats|Tom Stewart|3|3|4.833333|-1.833333
Hawthorn|Jonathon Ceglar|4|14|15.815269|-1.815269
Essendon|Dyson Heppell|3|13|14.765874|-1.765874
Carlton|Matthew Cottrell|8|20|21.741857|-1.741857
Sydney Swans|Oliver Florent|16|54|55.7335177|-1.73351769999999
Geelong Cats|Joel Selwood|13|40|41.71585|-1.71585
North Melbourne|Jared Polec|1|1|2.666667|-1.666667
Gold Coast Suns|Zac Smith|6|18|19.6157887|-1.6157887
Adelaide Crows|David Mackay|14|42|43.5779217|-1.5779217
GWS Giants|Nick Haynes|3|7|8.5625|-1.5625
West Coast Eagles|Elliot Yeo|8|22|23.560607|-1.560607
Essendon|Patrick Ambrose|1|1|2.541667|-1.541667
Carlton|Mitch McGovern|13|40|41.539483|-1.539483
Gold Coast Suns|Brayden Fiorini|6|14|15.5318833|-1.5318833
Adelaide Crows|Shane McAdam|42|161|162.513334|-1.51333399999999
Fremantle|Ethan Hughes|1|1|2.5|-1.5
Fremantle|Connor Blakely|3|8|9.476231|-1.476231
Western Bulldogs|Alex Keath|1|1|2.461539|-1.461539
West Coast Eagles|Jackson Nelson|2|1|2.333333|-1.333333
Carlton|Jacob Weitering|1|1|2.333333|-1.333333
Richmond|Dion Prestia|6|9|10.25|-1.25
Fremantle|Lloyd Meek|3|8|9.23582|-1.23582
Richmond|Nick Vlastuin|1|1|2.230769|-1.230769
Richmond|Noah Balta|3|7|8.222222|-1.222222
Western Bulldogs|Bailey Smith|27|81|82.2161837|-1.2161837
Port Adelaide|Todd Marshall|40|149|150.159322|-1.159322
Collingwood|Beau McCreery|19|71|72.130752|-1.130752
Fremantle|Nathan Wilson|4|3|3.970588|-0.970588
Geelong Cats|Mark O'Connor|4|6|6.934066|-0.934066
Gold Coast Suns|Jarrod Witts|1|1|1.90625|-0.90625
St Kilda|Nick Coffield|2|7|7.885714|-0.885714
North Melbourne|Luke McDonald|1|1|1.866667|-0.866667
St Kilda|Zak Jones|7|26|26.81579|-0.81579
Richmond|Jason Castagna|35|115|115.7952834|-0.795283399999988
Adelaide Crows|Kieran Strachan|2|2|2.769231|-0.769231
Hawthorn|Shaun Burgoyne|3|7|7.761905|-0.761905
Hawthorn|Harry Morrison|11|43|43.7606837|-0.760683699999994
GWS Giants|Lachie Ash|4|7|7.75|-0.75
Port Adelaide|Sam Mayes|10|32|32.6222457|-0.622245700000001
Carlton|Tom Williamson|6|15|15.60586|-0.60586
St Kilda|Ryan Byrnes|10|37|37.543859|-0.543858999999998
Geelong Cats|Rhys Stanley|13|41|41.411008|-0.411008000000002
West Coast Eagles|Brendon Ah Chee|9|32|32.41006|-0.410060000000001
Hawthorn|Lachlan Bramble|5|7|7.393965|-0.393965
